#Subintervals,Trapezoidal,,,Simpson,,,Gauss3,,
-,cosine,C1 function,normal dist,cosine,C1 function,normal dist,cosine,C1 function,normal dist
1,-2.0,0.0,1.2130613194252668,-1.3333333333333333,0.0,0.8087075462835112,0.04490840094474968,0.0,1.7120202452019089
2,-1.0,0.0,0.6065306597126334,-0.6666666666666666,0.0,0.4043537731417556,1.1102230246251565e-16,0.0,1.7112527880852635
4,0.0,-0.125,1.2445137811486144,-0.33333333333333326,-0.16666666666666666,0.7905081549606081,5.551115123125783e-17,-5.551115123125783e-17,1.711248841806189
8,0.17677669529663698,-0.140625,1.5162076339558799,0.2357022603955159,-0.22916666666666666,1.3126066173634365,5.551115123125783e-17,2.7755575615628914e-17,1.7112487846719815
16,0.11548494156391093,-0.095703125,1.6244258593799685,0.21290548718409347,-0.17447916666666666,1.5346920008564964,9.71445146547012e-17,0.0,1.7112487837980943
32,0.06129908002520197,-0.054931640625,1.6705795603205473,0.12022708722157296,-0.10514322916666666,1.6291357313682113,3.469446951953614e-17,3.469446951953614e-17,1.711248783784513
64,0.03109952270850619,-0.029327392578125,1.691603857462872,0.06189905695307555,-0.057413736979166664,1.6717624263092645,-1.3877787807814457e-17,6.938893903907228e-18,1.711248783784301
128,0.015606179003205774,-0.015140533447265625,1.7015989955526822,0.031174746240443158,-0.029963175455729164,1.691899905632758,1.700029006457271e-16,-5.204170427930421e-18,1.711248783784297
256,0.0078101470210642805,-0.007690906524658203,1.7064670741048549,0.015615589029154076,-0.015301386515299479,1.7016730281322163,2.2551405187698492e-17,-7.806255641895632e-18,1.7112487837842965
512,0.0039059558665592367,-0.0038757920265197754,1.7088687260305004,0.007811323495767003,-0.007731358210245768,1.7064855835270758,-1.8648277366750676e-17,-3.903127820947816e-18,1.711248783784298
