#Subintervals,Trapezoidal,,,Simpson,,,Gauss3,,
-,cosine,C1 function,normal dist,cosine,C1 function,normal dist,cosine,C1 function,normal dist
1,-2.0486093421099114,0.2205000000000002,1.2102353406699602,-1.3657395614066077,0.14700000000000016,0.8068235604466402,-0.03792156242188403,0.09722142531541507,1.769928185303884
2,-1.0243046710549557,0.1102500000000001,0.6051176703349801,-0.6828697807033038,0.07350000000000008,0.4034117802233201,-0.0984588301862093,0.11025000000000007,1.7688786032245025
4,0.04757506854208803,-0.06201562499999995,1.2958950194748782,-0.2865135233421601,-0.12118749999999989,0.827028589207638,-0.09836424463240523,0.11025000000000007,1.768874211506988
8,0.13630581108031267,-0.0732128906249999,1.5770763412610844,0.24758860260928794,-0.19266406249999993,1.3741333759774057,-0.0983631800169337,0.11031078412285095,1.7688741459538255
16,0.033652433038691976,-0.012596923828124867,1.6850461340785978,0.15212144159589133,-0.11513769531250004,1.5978023285075602,-0.09836316454953356,0.11034038725750912,1.7688741449475334
32,-0.032771806331495464,0.04019979858398446,1.7300049725567122,0.032165444128925816,-0.02431799316406253,1.6902618810600054,-0.09836316431209875,0.11033340766434133,1.7688741449318817
64,-0.06619178402590303,0.07298161697387709,1.7501992152507033,-0.033836642123068174,0.037099380493164275,1.7313067222360243,-0.09836316430840512,0.11033328331537376,1.7688741449316372
128,-0.08249764643934578,0.09107394361495987,1.7597261101518233,-0.06654342554344642,0.07219151878356944,1.7505239998783935,-0.09836316430834752,0.11033333301544188,1.7688741449316339
256,-0.09049335591171705,0.10055614954233168,1.764347407088936,-0.08259609818294336,0.09087434124946589,1.7598072018909132,-0.09836316430834618,0.1103333330154419,1.7688741449316334
512,-0.09444497818957089,0.10540766208618896,1.7666225850820345,-0.09051927598718586,0.10050597128272062,1.7643676655748592,-0.09836316430834671,0.11033333324731508,1.768874144931634
